pod_id,algorithm,timestamp,success,execution_time,emissions,node,timeslot,considered_options,solver_iterations,solver_status
m169-duration-3h-deadline-9h,optimal,1742742077.8124468,True,0.006791114807128906,2.6468507620484925,node-2-es-laptop,1,28,0,Optimal
m170-duration-6h-deadline-30h,optimal,1742742077.8250327,True,0.011395454406738281,0.30051939056919386,node-5-fr-smartphone,19,162,0,Optimal
m171-duration-1h-deadline-7h,optimal,1742742077.8341515,True,0.008205175399780273,0.3471030690200211,node-4-de-iot,1,24,0,Optimal
m172-duration-3h-deadline-27h,optimal,1742742077.8531482,True,0.01720595359802246,0.20020969528459695,node-5-fr-smartphone,19,138,0,Optimal
m173-duration-6h-deadline-8h,optimal,1742742077.860553,True,0.006642341613769531,11.010951524096985,node-2-es-laptop,1,24,0,Optimal
m174-duration-1h-deadline-25h,optimal,1742742077.8702755,True,0.008880853652954102,0.08448656509486566,node-1-fr-smartphone,13,131,0,Optimal
m175-duration-3h-deadline-5h,optimal,1742742077.8762658,True,0.00522923469543457,3.9173507620484926,node-2-es-laptop,1,12,0,Optimal
m176-duration-6h-deadline-12h,optimal,1742742077.883517,True,0.006472110748291016,5.293701524096985,node-2-es-laptop,1,40,0,Optimal
m177-duration-1h-deadline-3h,optimal,1742742077.889914,True,0.0056095123291015625,0.258003069020021,node-4-de-iot,1,10,0,Optimal
m178-duration-3h-deadline-9h,optimal,1742742077.896665,True,0.005949735641479492,3.9173507620484926,node-2-es-laptop,1,28,0,Optimal
m179-duration-6h-deadline-12h,optimal,1742742077.903973,True,0.006507396697998047,11.010951524096985,node-2-es-laptop,1,40,0,Optimal
m180-duration-1h-deadline-7h,optimal,1742742077.912802,True,0.007927656173706055,0.7926030690200211,node-4-de-iot,1,24,0,Optimal
m181-duration-3h-deadline-27h,optimal,1742742125.8350224,True,0.015217781066894531,0.15025969528459693,node-5-fr-smartphone,19,138,0,Optimal
m182-duration-6h-deadline-8h,optimal,1742742125.8440619,True,0.008082151412963867,7.834701524096985,node-2-es-laptop,1,24,0,Optimal
m183-duration-1h-deadline-7h,optimal,1742742125.856665,True,0.01045989990234375,0.35935306902002107,node-4-de-iot,0,23,0,Optimal
m184-duration-3h-deadline-9h,optimal,1742742125.882176,True,0.022350549697875977,5.505475762048492,node-2-es-laptop,1,28,0,Optimal
m185-duration-6h-deadline-12h,optimal,1742742125.9043653,True,0.01932549476623535,5.293701524096985,node-2-es-laptop,1,40,0,Optimal
m186-duration-1h-deadline-7h,optimal,1742742125.9179602,True,0.012808084487915039,0.513103069020021,node-4-de-iot,0,23,0,Optimal
m187-duration-3h-deadline-27h,optimal,1742742125.9414756,True,0.021595001220703125,0.46195969528459696,node-5-fr-smartphone,20,136,0,Optimal
m188-duration-6h-deadline-12h,optimal,1742742125.9556909,True,0.013274431228637695,5.293701524096985,node-2-es-laptop,1,40,0,Optimal
m189-duration-1h-deadline-7h,optimal,1742742125.9684665,True,0.009293556213378906,0.513103069020021,node-4-de-iot,0,23,0,Optimal
m190-duration-3h-deadline-5h,optimal,1742742125.9803622,True,0.010970592498779297,2.6468507620484925,node-2-es-laptop,1,12,0,Optimal
m191-duration-6h-deadline-12h,optimal,1742742125.9898522,True,0.008583307266235352,5.293701524096985,node-2-es-laptop,1,40,0,Optimal
m192-duration-1h-deadline-7h,optimal,1742742125.9967387,True,0.005700349807739258,0.26710306902002107,node-4-de-iot,0,23,0,Optimal
m193-duration-3h-deadline-9h,optimal,1742742126.006324,True,0.007779836654663086,3.1232882620484923,node-2-es-laptop,1,28,0,Optimal
m194-duration-6h-deadline-12h,optimal,1742742126.015227,True,0.00772404670715332,11.010951524096985,node-2-es-laptop,1,40,0,Optimal
m195-duration-1h-deadline-25h,optimal,1742742126.028085,True,0.010799884796142578,0.08448656509486566,node-5-fr-smartphone,13,128,0,Optimal
