region,reference_location,latitude,longitude,weather_site_source_note,weather_site_confidence,slot_index,forecast_datetime_utc,weather_time_utc,dry_bulb_c,wet_bulb_c,wet_bulb_f,model_wet_bulb_f,cooling_scenario,cooling_profile,activation_rule,activation_logic,evaporative_mode_active,dry_mode_wue_l_per_kwh,wet_tower_wue_l_per_kwh,evap_multiplier,evap_activation_dry_bulb_c,evap_activation_wet_bulb_c,direct_wue_l_per_kwh,model,source_dataset,source_url,cooling_profile_source_basis,cooling_profile_notes
FR,Paris metro proxy,48.8566,2.3522,Metro-scale proxy for the dominant FR cloud/data-center hub,metro,5,2025-02-26T15:00:00.000Z,2025-02-26T15:00,10.7,6.7,44.06,44.06,base,hybrid_economized,threshold,any,False,0.03,1.4397896294399999,0.35,26.0,18.0,0.03,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Base hybrid/economized scenario calibrated to Microsoft outside-air,DOE economizer
FR,Paris metro proxy,48.8566,2.3522,Metro-scale proxy for the dominant FR cloud/data-center hub,metro,6,2025-02-26T16:00:00.000Z,2025-02-26T16:00,10.4,6.9,44.42,44.42,base,hybrid_economized,threshold,any,False,0.03,1.4448923385599999,0.35,26.0,18.0,0.03,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Base hybrid/economized scenario calibrated to Microsoft outside-air,DOE economizer
FR,Paris metro proxy,48.8566,2.3522,Metro-scale proxy for the dominant FR cloud/data-center hub,metro,7,2025-02-26T17:00:00.000Z,2025-02-26T17:00,9.5,6.9,44.42,44.42,base,hybrid_economized,threshold,any,False,0.03,1.4448923385599999,0.35,26.0,18.0,0.03,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Base hybrid/economized scenario calibrated to Microsoft outside-air,DOE economizer
FR,Paris metro proxy,48.8566,2.3522,Metro-scale proxy for the dominant FR cloud/data-center hub,metro,8,2025-02-26T18:00:00.000Z,2025-02-26T18:00,8.9,6.8,44.239999999999995,44.239999999999995,base,hybrid_economized,threshold,any,False,0.03,1.4423471270399997,0.35,26.0,18.0,0.03,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Base hybrid/economized scenario calibrated to Microsoft outside-air,DOE economizer
FR,Paris metro proxy,48.8566,2.3522,Metro-scale proxy for the dominant FR cloud/data-center hub,metro,9,2025-02-26T19:00:00.000Z,2025-02-26T19:00,9.0,7.3,45.14,45.14,base,hybrid_economized,threshold,any,False,0.03,1.45495032384,0.35,26.0,18.0,0.03,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Base hybrid/economized scenario calibrated to Microsoft outside-air,DOE economizer
FR,Paris metro proxy,48.8566,2.3522,Metro-scale proxy for the dominant FR cloud/data-center hub,metro,10,2025-02-26T20:00:00.000Z,2025-02-26T20:00,9.1,7.3,45.14,45.14,base,hybrid_economized,threshold,any,False,0.03,1.45495032384,0.35,26.0,18.0,0.03,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Base hybrid/economized scenario calibrated to Microsoft outside-air,DOE economizer
FR,Paris metro proxy,48.8566,2.3522,Metro-scale proxy for the dominant FR cloud/data-center hub,metro,11,2025-02-26T21:00:00.000Z,2025-02-26T21:00,9.1,6.9,44.42,44.42,base,hybrid_economized,threshold,any,False,0.03,1.4448923385599999,0.35,26.0,18.0,0.03,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Base hybrid/economized scenario calibrated to Microsoft outside-air,DOE economizer
FR,Paris metro proxy,48.8566,2.3522,Metro-scale proxy for the dominant FR cloud/data-center hub,metro,12,2025-02-26T22:00:00.000Z,2025-02-26T22:00,8.2,6.2,43.16,43.16,base,hybrid_economized,threshold,any,False,0.03,1.42681785024,0.35,26.0,18.0,0.03,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Base hybrid/economized scenario calibrated to Microsoft outside-air,DOE economizer
FR,Paris metro proxy,48.8566,2.3522,Metro-scale proxy for the dominant FR cloud/data-center hub,metro,13,2025-02-26T23:00:00.000Z,2025-02-26T23:00,7.5,5.4,41.72,41.72,base,hybrid_economized,threshold,any,False,0.03,1.4054241273599999,0.35,26.0,18.0,0.03,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Base hybrid/economized scenario calibrated to Microsoft outside-air,DOE economizer
FR,Paris metro proxy,48.8566,2.3522,Metro-scale proxy for the dominant FR cloud/data-center hub,metro,14,2025-02-27T00:00:00.000Z,2025-02-27T00:00,6.7,4.9,40.82,40.82,base,hybrid_economized,threshold,any,False,0.03,1.39165375296,0.35,26.0,18.0,0.03,Gupta wet-tower submodel + explicit cooling-profile scenario,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=48.8566&longitude=2.3522&hourly=temperature_2m%2Cwet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT,Base hybrid/economized scenario calibrated to Microsoft outside-air,DOE economizer
