region,reference_location,latitude,longitude,slot_index,forecast_datetime_utc,weather_time_utc,wet_bulb_c,wet_bulb_f,model_wet_bulb_f,direct_wue_l_per_kwh,model,source_dataset,source_url
ES,Madrid,40.4168,-3.7038,3,2025-02-26T13:00:00.000Z,2025-02-26T13:00,5.8,42.44,42.44,1.41621927744,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=40.4168&longitude=-3.7038&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
ES,Madrid,40.4168,-3.7038,4,2025-02-26T14:00:00.000Z,2025-02-26T14:00,6.3,43.34,43.34,1.42943677824,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=40.4168&longitude=-3.7038&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
ES,Madrid,40.4168,-3.7038,5,2025-02-26T15:00:00.000Z,2025-02-26T15:00,6.5,43.7,43.7,1.4346377759999998,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=40.4168&longitude=-3.7038&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
ES,Madrid,40.4168,-3.7038,6,2025-02-26T16:00:00.000Z,2025-02-26T16:00,6.7,44.06,44.06,1.4397896294399999,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=40.4168&longitude=-3.7038&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
ES,Madrid,40.4168,-3.7038,7,2025-02-26T17:00:00.000Z,2025-02-26T17:00,6.3,43.34,43.34,1.42943677824,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=40.4168&longitude=-3.7038&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
ES,Madrid,40.4168,-3.7038,8,2025-02-26T18:00:00.000Z,2025-02-26T18:00,5.5,41.9,41.9,1.408141344,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=40.4168&longitude=-3.7038&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
ES,Madrid,40.4168,-3.7038,9,2025-02-26T19:00:00.000Z,2025-02-26T19:00,4.8,40.64,40.64,1.38886281984,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=40.4168&longitude=-3.7038&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
ES,Madrid,40.4168,-3.7038,10,2025-02-26T20:00:00.000Z,2025-02-26T20:00,4.1,39.38,39.38,1.36898227776,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=40.4168&longitude=-3.7038&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
ES,Madrid,40.4168,-3.7038,11,2025-02-26T21:00:00.000Z,2025-02-26T21:00,3.4,38.12,38.12,1.34849971776,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=40.4168&longitude=-3.7038&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
ES,Madrid,40.4168,-3.7038,12,2025-02-26T22:00:00.000Z,2025-02-26T22:00,2.8,37.04,37.04,1.3304640806399999,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=40.4168&longitude=-3.7038&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
ES,Madrid,40.4168,-3.7038,13,2025-02-26T23:00:00.000Z,2025-02-26T23:00,2.4,36.32,36.32,1.3181946009599999,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=40.4168&longitude=-3.7038&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
ES,Madrid,40.4168,-3.7038,14,2025-02-27T00:00:00.000Z,2025-02-27T00:00,2.6,36.68,36.68,1.32435391296,Gupta et al. 2024 fixed-approach model,Open-Meteo historical forecast API,https://historical-forecast-api.open-meteo.com/v1/forecast?latitude=40.4168&longitude=-3.7038&hourly=wet_bulb_temperature_2m&start_date=2025-02-26&end_date=2025-02-27&timezone=GMT
