pod_id,algorithm,timestamp,success,execution_time,emissions,node,timeslot,considered_options
m125-duration-6h-deadline-8h,heuristic,1742739511.174287,True,0.0007822513580322266,5.293701524096985,node-6-es-laptop,1,56
m126-duration-1h-deadline-7h,heuristic,1742739511.1766205,True,0.0005919933319091797,0.04618656509486565,node-5-fr-smartphone,0,48
m127-duration-3h-deadline-5h,heuristic,1742739511.178495,True,0.00041413307189941406,3.9173507620484926,node-6-es-laptop,1,32
m128-duration-6h-deadline-12h,heuristic,1742739511.1813397,True,0.001220703125,7.834701524096985,node-6-es-laptop,1,88
m129-duration-1h-deadline-7h,heuristic,1742739511.1833858,True,0.0005540847778320312,0.06148656509486566,node-5-fr-smartphone,0,48
m130-duration-3h-deadline-27h,heuristic,1742739511.186026,True,0.001657724380493164,0.17395969528459695,node-5-fr-smartphone,14,208
m131-duration-6h-deadline-8h,heuristic,1742739511.1875026,True,0.00045609474182128906,6.246576524096985,node-6-es-laptop,1,56
m132-duration-1h-deadline-25h,heuristic,1742739511.1899478,True,0.001458883285522461,0.057986565094865654,node-5-fr-smartphone,14,192
m133-duration-3h-deadline-5h,heuristic,1742739511.191271,True,0.00026535987854003906,3.1232882620484923,node-6-es-laptop,1,32
m134-duration-6h-deadline-30h,heuristic,1742739511.1943846,True,0.0020647048950195312,0.2615193905691939,node-5-fr-smartphone,14,232
m135-duration-1h-deadline-25h,heuristic,1742739511.1968548,True,0.0014340877532958984,0.05623656509486565,node-5-fr-smartphone,9,192
m136-duration-3h-deadline-27h,heuristic,1742739511.199552,True,0.0016508102416992188,0.40195969528459696,node-5-fr-smartphone,15,208
m137-duration-6h-deadline-8h,heuristic,1742739612.2833176,True,0.0006730556488037109,7.834701524096985,node-6-es-laptop,1,56
m138-duration-1h-deadline-25h,heuristic,1742739612.287173,True,0.002201080322265625,0.04488656509486565,node-5-fr-smartphone,12,192
m139-duration-3h-deadline-9h,heuristic,1742739612.2895398,True,0.0007383823394775391,3.9173507620484926,node-6-es-laptop,1,64
m140-duration-6h-deadline-30h,heuristic,1742739612.2940478,True,0.002988100051879883,0.827919390569194,node-1-fr-smartphone,17,232
m141-duration-1h-deadline-25h,heuristic,1742739612.2974555,True,0.0016970634460449219,0.059736565094865655,node-5-fr-smartphone,12,192
m142-duration-3h-deadline-27h,heuristic,1742739612.3009293,True,0.0021209716796875,0.17920969528459696,node-5-fr-smartphone,15,208
m143-duration-6h-deadline-12h,heuristic,1742739612.3034475,True,0.0011415481567382812,5.293701524096985,node-6-es-laptop,1,88
m144-duration-1h-deadline-3h,heuristic,1742739612.3049881,True,0.00022363662719726562,0.06148656509486566,node-5-fr-smartphone,0,16
m145-duration-3h-deadline-27h,heuristic,1742739612.3087287,True,0.002216339111328125,0.13465969528459693,node-5-fr-smartphone,15,208
m146-duration-6h-deadline-12h,heuristic,1742739612.311038,True,0.0008943080902099609,7.834701524096985,node-6-es-laptop,1,88
m147-duration-1h-deadline-7h,heuristic,1742739612.313052,True,0.0004935264587402344,0.13798656509486565,node-5-fr-smartphone,0,48
m148-duration-3h-deadline-27h,heuristic,1742739612.316929,True,0.0023474693298339844,0.26095969528459695,node-1-fr-smartphone,17,208
m149-duration-6h-deadline-12h,heuristic,1742739612.3188977,True,0.000812530517578125,6.246576524096985,node-6-es-laptop,1,88
m150-duration-1h-deadline-25h,heuristic,1742739612.3228803,True,0.0024161338806152344,0.04488656509486565,node-5-fr-smartphone,12,192
m151-duration-3h-deadline-27h,heuristic,1742739612.3270953,True,0.002669095993041992,0.13465969528459693,node-5-fr-smartphone,15,208
